Date,SST_Celsius,SST_Anomaly,HotSpot,HotSpot_Filtered,DHW
2023-09-23,29.57,0.56,0.07000000000000028,0.0,0.0
2023-09-24,29.65,0.64,0.14999999999999858,0.0,0.0
2023-09-25,29.69,0.68,0.19000000000000128,0.0,0.0
2023-09-26,29.69,0.67,0.19000000000000128,0.0,0.0
2023-09-27,29.54,0.51,0.03999999999999915,0.0,0.0
2023-09-28,29.24,0.21,0.0,0.0,0.0
2023-09-29,29.26,0.22,0.0,0.0,0.0
2023-09-30,29.48,0.44,0.0,0.0,0.0
2023-10-01,29.87,0.8300000000000001,0.370000000000001,0.0,0.0
2023-10-02,29.93,0.88,0.4299999999999997,0.0,0.0
2023-10-03,29.83,0.78,0.3299999999999983,0.0,0.0
2023-10-04,29.71,0.66,0.21000000000000085,0.0,0.0
2023-10-05,29.73,0.67,0.23000000000000043,0.0,0.0
2023-10-06,29.69,0.62,0.19000000000000128,0.0,0.0
2023-10-07,29.23,0.16,0.0,0.0,0.0
2023-10-08,29.77,0.7000000000000001,0.2699999999999996,0.0,0.0
2023-10-09,29.81,0.73,0.3099999999999987,0.0,0.0
2023-10-10,29.86,0.78,0.35999999999999943,0.0,0.0
2023-10-11,30.05,0.97,0.5500000000000007,0.0,0.0
2023-10-12,29.94,0.85,0.4400000000000013,0.0,0.0
2023-10-13,30.02,0.93,0.5199999999999996,0.0,0.0
2023-10-14,30.0,0.91,0.5,0.0,0.0
2023-10-15,29.99,0.89,0.48999999999999844,0.0,0.0
2023-10-16,30.11,1.01,0.6099999999999994,0.0,0.0
2023-10-17,29.97,0.88,0.46999999999999886,0.0,0.0
2023-10-18,29.71,0.63,0.21000000000000085,0.0,0.0
2023-10-19,29.62,0.55,0.120000000000001,0.0,0.0
2023-10-20,30.26,1.2,0.7600000000000016,0.0,0.0
2023-10-21,30.15,1.09,0.6499999999999986,0.0,0.0
2023-10-22,30.21,1.17,0.7100000000000009,0.0,0.0
2023-10-23,29.97,0.94,0.46999999999999886,0.0,0.0
2023-10-24,30.0,0.97,0.5,0.0,0.0
2023-10-25,30.19,1.18,0.6900000000000013,0.0,0.0
2023-10-26,30.23,1.22,0.7300000000000004,0.0,0.0
2023-10-27,30.22,1.23,0.7199999999999989,0.0,0.0
2023-10-28,30.32,1.33,0.8200000000000003,0.0,0.0
